what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375045044
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375054380
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375071758
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324375074617
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1324375083246
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1324375084824
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1324375094430
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1324375096411
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375096842
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375096863
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375098828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375149016
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1324375155250
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1324375155435
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375157869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375194361
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375215228
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375217244
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375409543
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375508374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375593270
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375608608
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375622613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375657883
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1324375666697
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375669324
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375671708
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375673357
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375675137
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1324375682505
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1324375682827
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375689421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375701571
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375721798
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.cleanAction",1324375722465
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324375722495
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1324375730091
